step,cos_sim_pos,cos_sim_neg
0,0.9844,0.9805
10,0.8555,0.1270
20,0.8828,-0.2129
30,0.8164,-0.6016
40,0.8633,-0.5547
50,0.7500,-0.5391
60,0.9258,-0.4902
70,0.7344,-0.5977
80,0.9102,-0.5625
90,0.8906,-0.4453
100,0.8281,-0.6602
110,0.9258,-0.5898
120,0.6211,-0.7852
130,0.8750,-0.7344
140,0.8945,-0.6719
150,0.8477,-0.7539
160,0.8945,-0.8164
170,0.8359,-0.7852
180,0.7773,-0.7891
190,0.9219,-0.5820
200,0.8438,-0.7227
210,0.8828,-0.8047
220,0.7539,-0.7656
230,0.9102,-0.5469
240,0.8242,-0.7422
250,0.9023,-0.4805
260,0.9062,-0.6641
0,0.8828,-0.7266
10,0.8320,-0.7656
20,0.8828,-0.8164
30,0.8750,-0.7969
40,0.8984,-0.6797
50,0.9219,-0.7422
60,0.7812,-0.7344
70,0.8594,-0.6914
80,0.8906,-0.6836
90,0.8984,-0.7070
100,0.9023,-0.8164
110,0.8516,-0.8555
120,0.8438,-0.7031
130,0.9141,-0.8125
140,0.9180,-0.7305
150,0.8906,-0.7773
160,0.8008,-0.7227
170,0.8828,-0.7344
180,0.9375,-0.7539
190,0.8945,-0.7852
200,0.8984,-0.7969
210,0.9258,-0.6406
220,0.8555,-0.7383
0,0.8984,0.8828
10,0.7773,0.5156
20,0.7070,-0.4316
30,0.8438,-0.4297
40,0.8867,-0.4961
50,0.8008,-0.5781
60,0.9297,-0.5195
70,0.8086,-0.5781
80,0.9023,-0.6367
90,0.8555,-0.7461
100,0.7773,-0.6172
110,0.9219,-0.6211
120,0.8398,-0.6328
130,0.9219,0.0464
140,0.9336,-0.2734
150,0.7930,-0.5859
160,0.8047,-0.6328
170,0.8359,-0.7344
180,0.9062,-0.7539
190,0.7812,-0.8047
200,0.8242,-0.0840
210,0.9023,-0.4492
220,0.7891,-0.7188
230,0.8203,-0.6953
240,0.8906,-0.6719
250,0.7891,-0.7109
260,0.8203,-0.7891
0,0.8711,-0.6758
